actual,prob_0,prob_1,predicted
0,0.26099325252351824,0.7390067474764818,1
1,0.2715804947073197,0.7284195052926803,1
1,0.06054821720312842,0.9394517827968716,1
1,0.1671243399990835,0.8328756600009165,1
0,0.6533967279795221,0.34660327202047786,0
0,0.5324091496671138,0.46759085033288617,0
1,0.14876668049826525,0.8512333195017348,1
0,0.5718962935401692,0.4281037064598307,0
1,0.2260951862624988,0.7739048137375012,1
1,0.2731829024209469,0.7268170975790531,1
1,0.29925616136107747,0.7007438386389225,1
1,0.2737441318120557,0.7262558681879443,1
0,0.28199995822201473,0.7180000417779853,1
1,0.3541991385714255,0.6458008614285745,1
1,0.2689867534245277,0.7310132465754723,1
0,0.4046761118004948,0.5953238881995052,1
1,0.40703652695507375,0.5929634730449262,1
1,0.22818116959022516,0.7718188304097748,1
1,0.2282825412732299,0.7717174587267701,1
1,0.2508456455650395,0.7491543544349605,1
1,0.12226379962758749,0.8777362003724125,1
1,0.10076166849605406,0.8992383315039459,1
1,0.17751077104589408,0.8224892289541059,1
0,0.6519475307688842,0.3480524692311158,0
0,0.18799083000964556,0.8120091699903544,1
1,0.06532785632840865,0.9346721436715913,1
1,0.23406718916194358,0.7659328108380564,1
1,0.12379819258108216,0.8762018074189178,1
0,0.4098308595581883,0.5901691404418117,1
0,0.4601669211986513,0.5398330788013487,1
1,0.2163805788751214,0.7836194211248786,1
0,0.46024614942593345,0.5397538505740666,1
1,0.4195826578526799,0.5804173421473201,1
1,0.15182142614027028,0.8481785738597297,1
0,0.7444023503512529,0.2555976496487471,0
0,0.42105988515153414,0.5789401148484659,1
1,0.33683371706656307,0.6631662829334369,1
1,0.2000473602353262,0.7999526397646738,1
0,0.5067765705453198,0.4932234294546803,0
1,0.374489943986398,0.625510056013602,1
1,0.19298180147550958,0.8070181985244904,1
1,0.29236288479075867,0.7076371152092413,1
1,0.43517222180315074,0.5648277781968493,1
1,0.573638218207488,0.4263617817925121,0
1,0.4375777871451111,0.5624222128548889,1
0,0.6179635470274543,0.3820364529725458,0
0,0.8215817438421273,0.17841825615787263,0
